Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
Captain's Quarters	0	0	0	0	3	0	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	1	1	0	3	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	2	5	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	1	0	0	4	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	2	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joel on Software	2	1	5	0	4	13	6	0	5	24	0	3	2	2	5	2	5	3	1	0	2	6	2	0	0	18	0	2	1	6	0	2	10	0	2	3	5	1	4	13	1	2	1	2	2	1	1	9	2	1	1	1	1	0	0	5	1	0	5	4	2	5	1	4	0	1	3	4	15	1	1	3	3	3	1	15	21	4	11	0	3	16	4	2	2	8	2	2	5	4	1	0	1	0	0	9	9	6	13	9	0	2	3	0	1	4	1	2	6	18	1	0	5	6	7	6	2	0	4	1	2	4	12	3	0	0	1	0	11	2	1	0	5	0	0	12	13	10	2	4	1	6	11	1	3	0	2	0	0	10	0	1	6	3	3	5	2	2	14	15	1	4	1	2	3	3	1	1	9	2	22	9	1	7	1	21	0	2	0	7	14	4	0	3	1	5	7	13	1	4	26	2	2	13	0	1	1	5	2	2	5	5	0	7	0	14	11	2	44	9	16	5	1	6	2	4	2	0	1	0	0	0	6	21	4	0	0	9	7	5	0	9	11	31	4	2	1	0	2	2	3	14	2	28	1	4	9	0	0	0	3	2	6	1	3	0	13	1	10	0	13	5	5	1	3	0	0	12	3	2	3	25	5	0	10	18	18	1	11	3	8	0	0	1	6	0	47	1	0	2	0	3	22	0	4	1	1	6	0	6	18	11	12	4	9	3	6	10	7	14	2	12	1	37	4	1	0	11	23	2	1	0	0	2	0	8	8	2	12	5	1	2	13	0	2	2	0	1	0	2	0	1	3	6	16	0	2	1	2	9	11	2	5	10	0	6	0	4	0	1	5	5	9	4	0	0	0	32	0	0	3	18	3	5	3	11	0	0	9	3	8	0	3	1	2	0	18	0	8	1	1	1	4	15	4	4	2	3	4	14	1	1	15	2	9	5	1	6	0	19	0	4	3	74	11	0	2	1	3	4	7	0	1	1	0	1	0	0	2	4	9	26	3	21	3	0	0	5	2	1	13	1	1	8	3	0	1	23	0	12	3	6	22	9	9	9	0	0	2	10	3	10	3	3	21	0	4	0	57	6	2	13	2	11	6	0	0	3	0	1	5	0	2	1	0	6	0	6	0	0	0	3	1	1	1	18	4	2	1	0	4	17	0	10	2	2	5	24	2	0	3	0	5	13	0	4	14	4	0	5	4	1	10	1	0	0	4	6	0	7	1	34	31	31	20	0	0	2	0	8	0	1	4	0	0	3	8	3	1	4	1	1	3	9	1	6	3	2	3	11	5	0	4	0	1	0	0	4	2	7	20	6	4	0	12
ProBlogger	0	0	89	0	37	3	37	1	22	168	32	48	28	7	25	23	21	5	0	2	99	41	7	1	3	132	2	9	35	3	11	23	127	8	16	72	12	0	56	5	52	3	90	9	3	6	8	186	1	47	2	7	8	10	22	16	23	0	2	2	4	31	32	23	14	10	124	50	98	7	12	65	12	15	12	61	10	17	21	1	38	193	1	8	4	45	0	4	100	21	6	0	2	0	1	110	30	3	94	43	0	7	212	4	14	7	20	4	20	72	0	9	90	53	148	29	16	10	19	8	9	22	107	32	15	22	20	21	257	3	37	0	47	4	3	7	143	13	47	60	42	27	43	32	5	2	4	18	10	287	1	2	6	40	28	24	29	7	113	81	7	80	9	42	1	10	12	14	41	1	99	86	3	3	1	123	12	75	1	69	1	15	29	92	9	88	14	92	2	18	64	10	47	185	1	1	16	32	15	12	84	0	15	38	35	121	19	21	302	40	2	0	16	83	15	85	0	13	1	2	3	2	2	97	20	15	6	13	9	72	47	29	191	697	10	0	50	106	10	114	27	98	16	280	4	11	17	4	6	37	52	47	101	31	5	16	132	4	0	7	0	30	28	0	30	20	2	246	2	95	149	28	33	7	45	309	52	9	97	2	133	2	8	6	36	29	275	0	3	6	8	33	333	64	41	10	35	29	5	97	68	26	42	27	100	110	17	99	125	9	6	30	35	218	76	59	2	1	124	2	4	1	1	14	2	6	161	150	13	15	23	2	143	5	3	55	19	24	1	104	4	148	8	0	121	2	71	36	31	10	9	15	28	6	0	37	70	69	2	2	42	27	1	51	22	9	0	337	18	1	137	9	10	27	5	33	2	11	34	10	89	13	3	235	7	1	95	2	0	17	3	11	15	207	92	11	12	33	50	151	27	36	43	29	98	48	12	83	19	71	3	48	15	413	98	2	22	136	55	140	8	2	16	28	4	8	3	4	6	631	65	105	70	174	63	4	14	10	9	2	134	40	0	78	109	1	3	371	1	116	20	21	109	167	94	13	4	9	18	159	0	80	10	7	121	0	7	6	146	17	12	203	6	71	51	14	62	28	5	22	19	0	2	2	8	46	24	49	0	9	10	15	17	8	15	227	51	105	18	2	1	55	22	26	24	75	359	229	7	0	19	6	63	135	1	9	50	9	35	41	24	499	294	3	1	32	33	27	3	31	51	221	273	459	354	4	71	64	4	59	3	4	13	5	3	8	5	17	11	3	2	12	39	4	7	27	2	9	0	93	212	1	20	184	3	0	7	323	12	15	101	16	90	0	27
Neil Gaiman's Journal	1	3	0	1	13	5	6	3	8	65	7	5	4	1	7	2	15	1	4	1	6	0	7	0	0	33	1	5	3	1	2	6	15	2	19	3	0	6	5	0	1	5	7	15	5	2	4	24	5	4	0	14	3	0	2	2	12	1	0	2	2	1	2	11	2	6	25	24	14	1	1	15	5	3	2	14	308	18	24	9	7	21	0	9	5	15	1	15	11	13	0	0	3	1	13	16	17	7	19	15	1	6	1	1	9	4	12	6	2	15	1	6	18	0	62	10	2	63	8	2	2	6	11	7	12	14	16	34	14	5	1	6	3	2	2	3	9	0	7	26	13	11	9	6	13	1	6	1	2	6	0	2	0	17	18	2	2	2	87	7	4	7	2	5	0	9	1	3	1	4	26	15	0	8	1	59	0	11	3	1	0	1	0	7	4	11	16	10	0	3	47	0	7	31	1	1	14	11	0	5	20	0	6	21	26	16	8	0	65	6	67	1	5	12	1	20	0	4	2	4	1	2	2	29	7	1	13	5	2	43	9	0	20	24	9	7	9	15	5	3	5	51	5	16	2	9	7	2	0	2	11	2	13	4	3	54	44	13	0	4	2	4	10	2	29	8	1	42	2	21	24	15	2	3	7	29	16	1	11	0	18	3	21	5	24	1	17	6	6	3	1	11	53	18	11	7	16	8	2	8	20	10	13	6	27	2	6	11	21	0	3	5	0	42	23	4	1	0	61	3	4	0	0	2	2	0	14	10	9	8	0	1	29	3	9	21	14	13	0	8	2	0	5	2	29	3	10	6	4	5	4	2	5	1	2	1	1	15	0	2	36	3	0	1	2	3	0	53	0	3	0	0	2	16	2	6	0	4	17	7	38	4	14	2	8	2	53	5	0	4	0	1	1	55	12	3	10	35	5	37	0	0	7	2	17	5	8	37	8	4	9	5	3	71	72	3	13	2	0	15	2	8	8	6	5	2	16	6	6	10	17	7	14	50	6	0	6	3	2	8	27	13	1	20	29	5	8	37	0	9	4	0	12	34	19	1	9	0	4	11	4	12	6	0	23	0	7	3	60	11	4	5	3	58	8	3	6	10	0	1	5	0	5	3	9	14	2	9	0	0	0	0	13	1	44	7	26	13	4	7	4	15	3	11	2	7	16	39	5	0	9	0	4	16	4	2	8	5	20	4	0	2	72	4	3	7	4	5	8	12	89	31	34	40	34	1	4	10	5	5	3	2	19	1	2	6	7	3	3	1	3	6	3	1	10	4	3	3	1	9	35	5	9	6	7	0	5	31	1	9	19	2	20	0	7
43 Folders	5	0	4	0	10	3	2	6	11	44	5	3	11	2	5	2	6	11	2	4	3	0	3	1	3	57	2	2	13	0	3	4	31	0	7	0	3	8	4	1	2	0	10	6	7	7	3	29	7	7	1	2	1	2	1	6	11	0	1	1	0	4	3	27	2	6	16	43	21	8	0	21	5	4	6	36	1	2	13	0	1	22	2	15	15	3	3	4	5	5	0	1	1	4	2	2	10	1	14	32	1	11	0	1	5	5	1	6	7	59	0	0	16	2	47	13	3	25	3	3	2	7	41	4	2	4	14	29	24	3	4	1	7	10	2	2	28	4	11	13	4	1	9	5	2	0	2	0	4	13	0	20	0	4	10	18	4	4	82	12	3	4	1	4	3	9	3	4	1	2	45	24	3	2	2	30	0	4	0	9	5	7	0	10	1	5	26	11	2	5	45	4	1	24	1	2	26	14	0	19	16	0	7	14	2	40	8	2	54	13	3	3	16	10	1	13	0	1	2	2	1	1	11	41	13	8	1	5	4	14	22	8	23	83	14	0	7	11	2	1	1	21	8	26	1	13	5	2	10	0	15	13	20	6	2	28	20	3	2	8	3	7	17	3	17	0	4	46	8	16	3	8	21	2	18	77	5	11	7	19	25	0	17	0	22	0	48	6	4	3	2	1	33	3	1	6	7	14	3	0	50	3	10	9	29	14	10	10	33	4	5	25	0	45	21	14	15	2	68	0	2	33	0	2	0	5	20	2	12	20	13	4	37	8	2	3	11	17	0	3	6	0	4	0	29	5	7	15	8	3	4	14	9	10	0	2	14	3	5	3	45	5	2	2	2	1	0	59	4	0	3	19	8	37	3	27	0	12	20	3	37	3	6	2	6	3	70	0	0	8	3	8	9	55	15	5	2	14	5	7	11	4	8	8	18	15	5	26	10	9	0	7	4	48	26	3	1	4	4	27	4	4	1	0	3	1	5	4	2	2	24	14	4	53	17	0	1	2	1	5	21	32	0	10	13	7	0	28	0	39	2	3	46	28	13	0	7	0	7	7	5	30	15	1	19	6	13	4	75	10	2	27	13	16	10	4	2	3	3	3	16	0	4	1	1	13	2	11	0	0	2	2	1	5	12	16	4	6	13	3	6	38	6	17	2	2	5	22	0	0	3	4	8	21	2	7	13	2	2	10	8	1	188	2	2	2	18	6	10	3	39	35	50	74	60	0	0	8	8	11	8	2	28	7	0	1	12	5	3	1	7	3	4	4	6	2	27	9	0	11	25	2	3	1	2	0	1	40	16	10	36	19	7	0	8
Scobleizer	0	3	1	0	1	0	3	4	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	1	7	0	0	4	0	0	0	0	0	0	4	1	0	0	0	0	0	4	1	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	1	0	8	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	2	0	6	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	1	5	3	0	3	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	4	0	0	6	1	0	0	0	0	1	1	1	4	0	0	0	0	1	0	4	0	3	0	0	0	0	2	2	0	0	0	14	1	0	0	0	0	0	1	0	0	1	0	6	4	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	1	2	0	2	0	0	1	3	0	0	1	15	3	1	0	0	4	5	0	0	3	0	1	0	0	3	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	3	0	0	1	7	0	0	0	0	1	16	0	0	0	2	0	0	0	0	0	5	0	3	0	0	1	0	3	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	1	3	1	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	3	20	0	1	0	7	1	0	0	0	0	0	2	0	0	1	2	0	0	6	0	1	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	6	0	1	0	1	4	0	1	0	2	0	0	1	0	5	1	11	0	0	2	0	0	1	0	0	9	2	1	6	1	0	0	0	1	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	3	7	0	0	2	0	0	0	0
The Dish	0	0	0	0	2	0	1	0	0	3	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	4	0	0	0	1	0	2	2	1	0	0	2	3	2	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	9	0	0	0	1	0	1	0	4	0	1	7	0	0	2	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	2	3	0	1	3	1	1	0	0	3	0	0	1	1	5	0	2	0	2	1	1	0	1	0	1	0	2	0	2	2	3	1	0	1	0	0	0	0	0	0	0	1	3	2	1	2	3	0	1	0	11	1	0	0	4	0	0	0	1	1	0	0	2	5	0	1	1	5	2	0	0	1	0	0	2	0	0	3	2	1	0	0	2	0	0	1	0	2	0	0	0	1	11	0	0	1	0	6	0	0	5	1	1	0	1	1	0	2	0	0	1	0	1	0	0	2	0	1	0	0	0	3	2	0	0	12	2	0	0	1	2	0	1	3	0	1	0	1	2	0	2	2	7	3	3	1	0	11	1	1	0	1	0	0	0	0	1	1	1	6	0	9	0	3	0	0	1	0	1	0	1	0	7	0	1	1	3	0	2	0	0	0	0	0	3	2	4	1	3	0	0	1	4	0	4	1	1	1	0	2	1	1	1	2	0	7	6	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	3	0	0	1	3	0	0	0	0	2	0	4	0	4	0	0	2	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	1	2	1	0	6	0	2	0	1	2	1	2	0	0	4	0	3	5	1	0	1	0	1	1	3	1	0	1	4	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	1	0	0	0	0	0	3	0	4	0	0	0	5	0	1	0	0	0	3	1	1	0	1	3	1	0	1	2	0	0	0	4	2	0	0	2	0	0	0	0	0	1	0	7	0	1	0	6	2	0	2	0	1	0	1	0	3	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	3	0	0	1	1	0	0	0	0	6	0	1	1	0	0	1	3	2	1	0	0	1	1	0	2	17	0	1	2	0	0	1	0	3	4	2	3	6	0	2	2	0	0	0	0	2	0	2	2	2	1	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	3	0	3	3	0	0	2	0	0	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	4	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	7	1	0	0	2	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	3	2	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	2	3	0	1	3	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	1	1	0	1	0	2	1	0	0	0	0	1	0	3	0	0	2	11	1	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	1	1	2	2	7	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	2	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	2	0	0	3	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	8	0	1	0	0	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	1	2	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	0	1	0	1	0	1	1	3	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	4	0	0	1	0	1	1	1
Lifehack	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	3	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	1	0	2	0	0	4	2	0	0	0	7	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	2	0	4	2	1	2	0	0	0	2	0	6	1	0	1	0	1	8	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	2	18	0	0	0	0	0	1	0	3	1	2	0	1	1	0	0	0	3	0	7	1	0	1	0	0	0	0	0	0	6	0	0	0	2	2	0	4	0	0	0	0	1	2	0	1	2	0	2	0	1	2	2	0	4	0	2	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	20	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	6	0	1	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	4	6	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	3	2	0	0	2	0	0	4	0	0	1	1	0	0	0	0	0	4	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	6	5	5	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Search Engine Roundtable	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	1	0	0	2	0	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	5	0	1	0	0	1	0	1	0	27	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
